type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,0,5850000,hyundai elantra 2016 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2016
Vente,0,5850000,hyundai elantra 2016 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2016
Vente,0,10800000,suzuki vitara 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2019
Vente,0,4000000,renault logan 2010,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Renault,Logan,2010
Vente,0,34000000,mercedes benz gle 450 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2017
Vente,0,9800000,mazda cx-5 2016 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Mazda,Mazda,2016
Vente,0,6500000,volkswagen touareg 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Location,2296779,49000000,nissan patrol 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Patrol,2021
Vente,0,10800000,hyundai tucson 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2018
Vente,0,6200000,honda cr-v3 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v3,2008
Vente,0,3500000,toyota highlander boite auto 2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Highlander boite auto,2003
Vente,0,3850000,mercedes c 280  4 matic 2009,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,C 280  4 matic,2009
Location,622070,12300000,hyundai kona 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Kona,2020
Location,72616313,1590000025,nissan qashqai 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2023
Vente,0,6900000,hyundai santa fe 2011,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2011
Location,644886,12800000,kia stonic 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Stonic,2020
Vente,0,5950000,hyundai elantra 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2016
